job_title,company_name,company_location,workplace_type,post_date,applicants,job_type,experience,company_size,industry
Data Scientist,Oliver James, Hesse,Hybrid,2 weeks ago,3,Full-time , Entry level,medium, Staffing and Recruiting
Data Engineer (w/m/d) - in Paderborn,Jefferson Frank, North Rhine-Westphalia,Hybrid,1 month ago,3,Full-time , Entry level,medium, Staffing and Recruiting
Senior Data Scientist - Location-based Experiences (f/m/x),BMW Group, Bavaria,On-site,1 month ago,55,Full-time , Mid-Senior level,large, Motor Vehicle Manufacturing
Assistenz / Medizinischen Dokumentar (m/w/d) Frontend,Universitätsmedizin Mannheim, Baden-Württemberg,On-site,3 weeks ago,0,Full-time , Entry level,large, Hospitals and Health Care
Business Analyst (w/m/x),BMW Group, Bavaria,On-site,1 month ago,64,Full-time , Mid-Senior level,large, Motor Vehicle Manufacturing
Data Analyst / Data Scientist (all genders),adviqo Group, Berlin,On-site,3 weeks ago,58,Full-time , Mid-Senior level,medium, Online Audio and Video Media
Data Scientist (m/w/d),eoda GmbH, Rhineland-Palatinate,Hybrid,1 month ago,2,Full-time , Entry level,small, Data Infrastructure and Analytics
Praktikum Digitalisierung - Data Analytics / Data Science,STIHL, Baden-Württemberg,On-site,4 weeks ago,1,Full-time , Internship,large, Machinery Manufacturing
Werkstudent*in Datascience,greenventory, Baden-Württemberg,On-site,1 week ago,19,Part-time , Entry level,small, Data Infrastructure and Analytics
Expert Business Intelligence & Data Science (all genders),meteocontrol, Bavaria,On-site,1 month ago,4,Full-time , Mid-Senior level,medium, Renewable Energy Semiconductor Manufacturing
Werkstudent Data Science (m/w/d) im Bereich Data Services,Datalogue GmbH, Hamburg,On-site,3 weeks ago,2,Part-time , Internship,medium, Advertising Services
Associate Data Science Consultant (m/w/d),Comma Soft AG, North Rhine-Westphalia,Hybrid,2 months ago,2,Full-time , Entry level,medium, Business Consulting and Services
Data Scientist (m/w/d),Zentek Gruppe, North Rhine-Westphalia,On-site,2 weeks ago,13,Full-time , Mid-Senior level,medium, Environmental Services
Projektkoordinator Data Science - Machine Learning / Deep Learning (m/w/d) [100% remote mgl.],elunic AG, Bavaria,Hybrid,21 hours ago,2,Full-time , Entry level,medium, IT Services and IT Consulting
"Bachelor of Science (m/w/d) Data Science and Artificial Intelligence, Start 2024",TecAlliance, Baden-Württemberg,On-site,6 days ago,0,Full-time , Internship,medium, Information Technology & Services
Data Science Consultant (m/w/d),Convalid Analytics GmbH, Bavaria,Hybrid,1 week ago,9,Full-time , Entry level,small, Data Infrastructure and Analytics
Data Scientist (m/w/d),Kuraray Europe GmbH, Hesse,On-site,3 weeks ago,0,Full-time , Entry level,medium, Chemical Manufacturing
Junior Data Analyst (m/w/d),engineering people, Hesse,Hybrid,3 weeks ago,35,Full-time , Mid-Senior level,medium, Human Resources Services
Data Scientist (w/m/d) Schwerpunkt Verfahrenstechnik,H-TEC SYSTEMS, Bavaria,Hybrid,4 weeks ago,13,Full-time , Entry level,medium, Renewable Energy Semiconductor Manufacturing
Praktikum Data Science,eoda GmbH, Hesse,On-site,3 weeks ago,6,Full-time , Internship,small, Data Infrastructure and Analytics
Data Scientist*in (m/w/d),Knuddels, Baden-Württemberg,Remote,10 months ago,114,Full-time , Mid-Senior level,medium," Technology, Information and Internet"
ML Data Scientist (m/w/x) Vollzeit,SAM-DIMENSION, Baden-Württemberg,On-site,1 week ago,36,Full-time , Entry level,small, Farming
Werkstudent*in im Bereich Data Science (m/w/d),rosenbaum nagy unternehmensberatung GmbH, North Rhine-Westphalia,Hybrid,2 months ago,6,Internship , Internship,small, Business Consulting and Services
Praktikant Data Analytics & Business Intelligence,join.com, Berlin,Hybrid,3 hours ago,2,Internship , Internship,medium, Software Development
Data Analyst (m/w/d),nexible, North Rhine-Westphalia,On-site,3 weeks ago,0,Part-time , Mid-Senior level,small, Insurance
Data Scientist (m/f/d),Cuculus GmbH, Thuringia,On-site,1 day ago,15,Full-time , Mid-Senior level,medium, Software Development
Junior Data Analyst (m/w/d),engineering people, Hesse,Hybrid,3 weeks ago,1,Full-time , Mid-Senior level,medium, Human Resources Services
Data Scientist Experienced in Generative AI,Datasumi, Bavaria,On-site,1 month ago,178,Full-time , Mid-Senior level,small, Information Services
Research Manager in the field of Life Cycle Assessment (LCA) (m/f/d),iPoint-systems gmbh, Baden-Württemberg,On-site,3 weeks ago,20,Full-time , Entry level,medium, IT Services and IT Consulting
