job_title,company_name,company_location,workplace_type,post_date,applicants,job_type,experience,company_size,industry
Data Scientist (m/w/d),AP Sensing, Baden-Württemberg,On-site,1 month ago,27,Full-time , Entry level,medium, Electrical Equipment Manufacturing
Intern in the area of artificial intelligence (f/m/d),BMW Group, Bavaria,On-site,1 day ago,21,Internship , Internship,large, Motor Vehicle Manufacturing
"Generative AI Explorer (Stable Diffusion, ControlNet...)",ZAUBAR, Berlin,On-site,1 week ago,30,Full-time , Entry level,small, IT Services and IT Consulting
Data Scientist (f/m/d),Enter, Berlin,On-site,2 days ago,100,Full-time , Mid-Senior level,medium, Renewable Energy Semiconductor Manufacturing
Dualer Student (m/w/d) - Master Data Science & Artificial Intelligence (M.Sc.),Datalogue GmbH, Hamburg,On-site,3 weeks ago,1,Part-time , Internship,medium, Advertising Services
"Spectroscopy Data Analyst (full time, all genders)",IRUBIS, Bavaria,On-site,1 week ago,34,Full-time , Entry level,small, Biotechnology Research
Data Science Intern / Working Student,dltHub, Berlin,On-site,1 month ago,141,Full-time , Internship,small, Software Development
Intern in the area of Data Science - Web & Commerce Analytics (f/m/d),BMW Group, Bavaria,On-site,1 month ago,180,Full-time , Internship,large, Motor Vehicle Manufacturing
Working Student (m/w/d) MLC,Nordex Group, Hamburg,On-site,1 month ago,38,Full-time , Internship,large, Renewable Energy Semiconductor Manufacturing
Unsolicited Application (m/f/d) - Raisin Bank,Raisin, Hesse,On-site,2 weeks ago,1,Full-time , Entry level,medium, Financial Services
Lab Manager (m/f/d) Business Innovation Lab,Baden-Wuerttemberg Cooperative State University (DHBW), Baden-Württemberg,Hybrid,1 day ago,5,Part-time , Mid-Senior level,large, Higher Education
P 83/2023 Research Assistant (m/f/d),Universität Rostock, Mecklenburg-West Pomerania,On-site,2 weeks ago,10,Temporary , Entry level,large, Research Services
Operational Performance Controller (m/f/d),Nordex Group, Hamburg,Hybrid,2 months ago,6,Full-time , Director,large, Renewable Energy Semiconductor Manufacturing
Product Analyst (m/f/d),AutoScout24, Berlin,On-site,1 week ago,93,Full-time , Mid-Senior level,medium," Technology, Information and Internet"
Data Scientist - Life Science (f/m/d),Capgemini, Hesse,Hybrid,4 weeks ago,8,Full-time , Entry level,large, IT Services and IT Consulting
Expert - AI Strategy (f/m/x),BMW Group, Bavaria,On-site,1 month ago,114,Full-time , Mid-Senior level,large, Motor Vehicle Manufacturing
Bachelorand/ Masterand (m/w/d) im IT-Bereich,C.F. Maier-Firmengruppe, Baden-Württemberg,On-site,2 months ago,1,Full-time , Internship,medium, Motor Vehicle Manufacturing
Product Analyst (m/f/d),AutoScout24, Bavaria,On-site,1 week ago,29,Full-time , Mid-Senior level,medium," Technology, Information and Internet"
Data Analyst (m/w/d) für Logistikprojekte,EPG Ehrhardt Partner Group, Rhineland-Palatinate,On-site,2 months ago,1,Full-time , Entry level,medium, Software Development
"Informatiker, Wirtschaftsinformatiker - Data Science (m/w/d)- Berliner Wasserbetriebe",Berliner Wasserbetriebe, Berlin,On-site,1 week ago,2,Full-time , Mid-Senior level,large, Environmental Services
Data Scientist (m/w/d),Charisma-Tec GmbH, North Rhine-Westphalia,On-site,1 week ago,21,Full-time , Entry level,small, Human Resources Services
Data Visualization and Analysis Specialist (Tableau Focus) (m/f/d),yfood Labs, Bavaria,On-site,1 week ago,53,Full-time , Mid-Senior level,medium, Food & Beverages
Data Scientist im Restwertrisikomanagement (w/m/x),BMW Group, Bavaria,On-site,2 months ago,32,Full-time , Entry level,large, Motor Vehicle Manufacturing
"JUNIOR DATA SCIENTIST - Dubai, UAE",Cobblestone Energy, Hesse,On-site,1 month ago,115,Full-time , Entry level,medium, Oil and Gas
Senior Data Analyst (f/m/d),Container xChange, Hamburg,On-site,6 days ago,45,Full-time , Mid-Senior level,medium," Transportation, Logistics, Supply Chain and Storage"
Data Analysis Battery Expert (all genders),PowerCo SE, Lower Saxony,On-site,1 month ago,28,Full-time , Entry level,medium, Motor Vehicle Manufacturing
Data Science / Machine Learning Internship (m/f/d) - IoT Startup,Livello Technologies, North Rhine-Westphalia,On-site,2 days ago,26,Internship , Internship,small, IT Services and IT Consulting
Intern in the area of research development - new technologies (f/m/d),BMW Group, Bavaria,On-site,3 weeks ago,52,Internship , Internship,large, Motor Vehicle Manufacturing
Data Scientist (all genders),urban energy GmbH, Berlin,Hybrid,3 weeks ago,65,Full-time , Entry level,small, Renewables & Environment
Praktikant Data Science (m/w/d),konversionsKRAFT (Web Arts AG), Hesse,On-site,4 weeks ago,0,Full-time , Entry level,medium," Technology, Information and Internet"
(Junior) Data Scientist (w/m/d),prognostica GmbH, Bavaria,Hybrid,2 weeks ago,62,Full-time , Entry level,small, IT Services and IT Consulting
Student Assistant (d/w/m) at the BIH QUEST Center,soatadomicilio, Berlin,On-site,2 months ago,34,Internship , Internship,small, Insurance
