job_title,company_name,company_location,workplace_type,post_date,applicants,jobtype_experience,company_size_industry
Intern in the area of artificial intelligence platform mlops (f/m/d),BMW Group,"München, Bavaria, Germany",On-site,1 day ago,6 applicants,Internship · Internship,"10,001+ employees · Motor Vehicle Manufacturing"
Working Student (f/m/d) Power Market Analyst,Aquila Capital,"Hamburg, Hamburg, Germany",On-site,2 weeks ago,49 applicants,Internship · Internship,"501-1,000 employees · Investment Management"
Responsible AI Scientist (m/f/d) in Allianz SE,Allianz,"Munich, Bavaria, Germany",Hybrid,1 month ago,25 applicants,Full-time,"10,001+ employees · Financial Services"
Data Scientist and Process Mining Architect,Processand,"Munich, Bavaria, Germany",On-site,2 days ago,19 applicants,Full-time · Entry level,51-200 employees · IT Services and IT Consulting
Data Analyst (m/w/d),DIS AG,"Hannover, Lower Saxony, Germany",On-site,3 weeks ago,21 applicants,Full-time · Entry level,"5,001-10,000 employees · Human Resources Services"
Junior Data Scientist (m/w/d),Oraylis GmbH,"Düsseldorf, North Rhine-Westphalia, Germany",On-site,2 months ago,34 applicants,Full-time · Entry level,51-200 employees · IT Services and IT Consulting
Working Student (m/f/d) for ABOUT YOU’s Online Outlet,ABOUT YOU,"Hamburg, Hamburg, Germany",On-site,5 days ago,12 applicants,Internship · Internship,"1,001-5,000 employees · Technology, Information and Internet"
In-house Analyst Consultant - Junior (m/w/d),Picnic Technologies,"Dortmund, North Rhine-Westphalia, Germany",On-site,4 weeks ago,2 applicants,Full-time · Entry level,"5,001-10,000 employees · Retail"
Geospatial specialist (f/m/d) - Working Student or Internship - Augsburg or remote,credium,"Augsburg, Bavaria, Germany",On-site,2 weeks ago,52 applicants,Internship · Internship,11-50 employees · Information Services
Data Analyst (m/w/d) im versicherungstechnischen Controlling,RheinLand Versicherungsgruppe,"Neuss, North Rhine-Westphalia, Germany",On-site,1 month ago,4 applicants,Full-time · Entry level,"1,001-5,000 employees · Insurance"
"Bachelor of Science (m/w/d) Data Science and Artificial Intelligence, Start 2024",TecAlliance,"Cologne, North Rhine-Westphalia, Germany",On-site,6 days ago,,Full-time · Internship,"501-1,000 employees · Information Technology & Services"
Praktikant im Bereich Data Science Batteriezellproduktion (w/m/x),BMW Group,"München, Bavaria, Germany",On-site,2 weeks ago,3 applicants,Full-time · Internship,"10,001+ employees · Motor Vehicle Manufacturing"
In-house Analyst Consultant - Junior (m/w/d),Picnic Technologies,"Düsseldorf, North Rhine-Westphalia, Germany",On-site,3 weeks ago,,Full-time · Entry level,"5,001-10,000 employees · Retail"
Student Assistant (d/f/m) at the BIH QUEST Center - STUD-B 04.23.03,soatadomicilio,"Berlin, Berlin, Germany",On-site,4 weeks ago,6 applicants,Internship · Internship,1-10 employees · Insurance
"Student Researcher, 2023",Google,"Munich, Bavaria, Germany",Hybrid,1 month ago,,Internship,"10,001+ employees · Technology, Information and Internet"
Data Scientist Lithium Ion Battery Testing (all genders),PowerCo SE,"Salzgitter, Lower Saxony, Germany",Hybrid,3 weeks ago,30 applicants,Full-time · Entry level,"501-1,000 employees · Motor Vehicle Manufacturing"
Talents wanted (w/m/d),Smart Steel Technologies,"Berlin, Berlin, Germany",On-site,1 month ago,12 applicants,Full-time · Entry level,51-200 employees · Software Development
Data Analyst (m/f/d) Product,Advantest,"Böblingen, Baden-Württemberg, Germany",On-site,1 month ago,37 applicants,Full-time · Entry level,"1,001-5,000 employees · Semiconductor Manufacturing"
Data Analyst (f/m/d),talentsconnect AG,"Cologne, North Rhine-Westphalia, Germany",On-site,2 months ago,34 applicants,Full-time · Entry level,51-200 employees · Software Development
(Senior) Game Data Analyst (f/m/d),Kolibri Games,"Berlin, Berlin, Germany",Hybrid,2 months ago,121 applicants,Full-time,51-200 employees · Computer Games
Intern - Data Scientist and Process Mining Architect,Processand,"München, Bavaria, Germany",,2 months ago,75 applicants,Internship · Internship,51-200 employees · IT Services and IT Consulting
Mitarbeiter (m/w/d) Auftragsmanagement & Datenanalyse im Messstellenbetrieb (Strom und Gas),E.ON Grid Solutions,"Hamburg, Hamburg, Germany",Hybrid,2 hours ago,,Full-time · Entry level,"1,001-5,000 employees · Utilities"
Working Student Business Intelligence (m/f/d),enmacc,"Munich, Bavaria, Germany",On-site,3 weeks ago,85 applicants,Full-time · Internship,51-200 employees · IT Services and IT Consulting
W 56/2023 Wissenschaftliche/r Mitarbeiter/in (m/w/d),Universität Rostock,"Rostock, Mecklenburg-West Pomerania, Germany",On-site,6 days ago,1 applicant,Full-time,"1,001-5,000 employees · Research Services"
Data Analyst Web (m/f/d),MediaMarktSaturn,"Berlin, Berlin, Germany",,1 month ago,,Full-time · Entry level,"10,001+ employees · Retail"
DH Studium Wirtschaftsinformatik - Data Science (m/w/d) - Beginn 2023,Weinmann Aach AG,"Dornstetten, Baden-Württemberg, Germany",On-site,1 month ago,,Full-time · Entry level,"201-500 employees · Transportation, Logistics, Supply Chain and Storage"
Bioinformatics Data Analyst in Bioinformatics Industry (m/f/d),Scionics Computer Innovation GmbH,"Dresden, Saxony, Germany",On-site,1 month ago,46 applicants,Full-time · Entry level,11-50 employees · IT Services and IT Consulting
"Research Associate / PhD Student, School of Embedded Composite AI (SECAI)",Technische Universität Dresden,"Dresden, Saxony, Germany",On-site,1 month ago,16 applicants,Part-time · Internship,"10,001+ employees · Research"
Data Scientist,Apiax,"Frankfurt, Hesse, Germany",On-site,1 week ago,59 applicants,Full-time · Entry level,51-200 employees · IT Services and IT Consulting
(Junior) Data Analyst/ Data Scientist (m/w/d),DeutschlandCard GmbH | Bertelsmann SE & Co. KGaA,"München, Bavaria, Germany",On-site,1 week ago,54 applicants,Full-time · Mid-Senior level,"51-200 employees · Technology, Information and Internet"
Intern in LLM (Large Language Model) - Generative AI,Cerence Inc.,"Aachen, North Rhine-Westphalia, Germany",On-site,3 weeks ago,42 applicants,Full-time · Internship,"1,001-5,000 employees · Software Development"
Data Analyst (w/m/d),Robert Half,"Dortmund, North Rhine-Westphalia, Germany",On-site,1 month ago,9 applicants,Full-time · Entry level,"10,001+ employees · Staffing and Recruiting"
Trainee Data Consultant (m/w/d),taod Consulting GmbH,"Cologne, North Rhine-Westphalia, Germany",Hybrid,4 days ago,1 applicant,Full-time · Entry level,11-50 employees · Business Consulting and Services
Werkstudent im Bereich Data Science (m/w/d),mgm technology partners,"Hamburg, Hamburg, Germany",Hybrid,1 month ago,12 applicants,Part-time · Internship,"501-1,000 employees · IT Services and IT Consulting"
Senior Data Scientist/ Analyst Logistics (all genders),PowerCo SE,"Salzgitter, Lower Saxony, Germany",On-site,1 month ago,7 applicants,Full-time · Mid-Senior level,"501-1,000 employees · Motor Vehicle Manufacturing"
Technical Product Analyst (f/m/d),nebenan.de,"Berlin, Berlin, Germany",On-site,3 days ago,7 applicants,Full-time · Mid-Senior level,"51-200 employees · Technology, Information and Internet"
Working Student - Data Scientist and Process Mining Architect,Processand,"München, Bavaria, Germany",,1 month ago,10 applicants,Internship · Internship,51-200 employees · IT Services and IT Consulting
Data Scientist (m/f/d),aimpower GmbH,Germany,On-site,4 weeks ago,7 applicants,Full-time · Mid-Senior level,11-50 employees · Advertising Services
(Senior) Data Analyst (w/m/d),freenet AG,"Hamburg, Hamburg, Germany",Hybrid,4 weeks ago,9 applicants,Full-time · Mid-Senior level,"1,001-5,000 employees · Telecommunications"
Young Professional Big Data Analyst (m/w/d) ←,Talentschmiede Unternehmensberatung AG,"Frankfurt, Hesse, Germany",On-site,2 months ago,5 applicants,Full-time · Entry level,51-200 employees · IT Services and IT Consulting
Projektleitung (w/m/d) im Bereich Data Science Predictive Maintenance,Siemens,"Erlangen, Bavaria, Germany",On-site,10 months ago,31 applicants,Full-time · Entry level,"10,001+ employees · Automation Machinery Manufacturing"
Data Science Manager (f/m/d),kloeckner.i GmbH,"Berlin, Berlin, Germany",Hybrid,5 days ago,6 applicants,Full-time · Mid-Senior level,51-200 employees · Internet Publishing
Junior Market Analyst (Remote Internship – Market Research),TalentKompass Deutschland,"Stuttgart, Baden-Württemberg, Germany",Remote,1 week ago,9 applicants,Internship,1-10 employees · Human Resources Services
Student Assistant (m/f/div) Interpersonal Synchrony Analysis Project,Max Planck Institute for Intelligent Systems,"Tübingen, Baden-Württemberg, Germany",On-site,7 hours ago,,Internship · Internship,"501-1,000 employees · Research Services"
Working Student (m/f/d) - Global Data Provision,IDS GmbH – Analysis and Reporting Services,"Munich, Bavaria, Germany",Hybrid,4 weeks ago,71 applicants,Full-time,201-500 employees · Financial Services
Data Analytics Training | Bildungsgutschein,SCALEWORK,"Berlin, Berlin, Germany",On-site,5 days ago,1 applicant,Contract · Entry level,1-10 employees · IT Services and IT Consulting
Data Engineer / Data Analyst (m/w/d),Bank11 für Privatkunden und Handel GmbH,"Düsseldorf, North Rhine-Westphalia, Germany",On-site,1 week ago,25 applicants,Full-time · Entry level,201-500 employees · Financial Services
Data Analyst - Digital Marketing (all genders),Native Instruments,"Berlin, Germany",On-site,1 month ago,45 applicants,Full-time · Entry level,201-500 employees · Musicians
Data Scientist (m/w/d),apetito AG,"Rheine, North Rhine-Westphalia, Germany",Hybrid,3 weeks ago,35 applicants,Full-time · Entry level,"5,001-10,000 employees · Food Production"
Data Analyst (m/w/d),SNOCKS,Germany,Remote,1 day ago,44 applicants,Full-time · Mid-Senior level,51-200 employees · Textile Manufacturing
Junior Market Analyst (Remote Internship – Market Research),TalentKompass Deutschland,"Cologne, North Rhine-Westphalia, Germany",Remote,1 week ago,16 applicants,Internship,1-10 employees · Human Resources Services
Data Scientist and Process Mining Architect,Processand,"München, Bavaria, Germany",Hybrid,1 month ago,3 applicants,Full-time · Entry level,51-200 employees · IT Services and IT Consulting
Junior Data Scientist (m/w/d),ANKORDATA GmbH &amp; Co. KG,"Frankfurt am Main, Hesse, Germany",On-site,1 month ago,4 applicants,Full-time · Entry level,See how you compare to 4 applicants. Try Premium for free
Internship on Business and Data Analysis (all genders),Convolut,"München, Bavaria, Germany",On-site,3 weeks ago,7 applicants,Internship · Internship,1-10 employees · Information Technology & Services
Data Scientist (m/w/d),Arete AG,Germany,Remote,6 days ago,32 applicants,Contract · Entry level,1-10 employees · Fundraising
Young Professional Client Data Analyst (m/f/d) ←,Talentschmiede Unternehmensberatung AG,"Berlin, Berlin, Germany",On-site,2 months ago,73 applicants,Full-time · Entry level,51-200 employees · IT Services and IT Consulting
Data Science - Studentische Hilfskraft / Praktikant/-in (m/w/d),logarithmo GmbH & Co. KG,"Dortmund, North Rhine-Westphalia, Germany",On-site,3 days ago,13 applicants,Part-time · Internship,11-50 employees · Software Development
Junior Market Analyst (Remote Internship – Market Research),TalentKompass Deutschland,"Frankfurt, Hesse, Germany",Remote,1 week ago,57 applicants,Internship,1-10 employees · Human Resources Services
Head of Data Analysis DEU (m/f/d),Nordex Group,"Hamburg, Hamburg, Germany",Hybrid,2 months ago,12 applicants,Full-time · Mid-Senior level,"5,001-10,000 employees · Renewable Energy Semiconductor Manufacturing"
Data Scientist – Maschinelles Lernen und fachliche Führung (m/w/d),Professional Scientists GmbH & Co. KG,"Stuttgart, Baden-Württemberg, Germany",On-site,4 days ago,10 applicants,Full-time · Entry level,11-50 employees · Staffing and Recruiting
Data Analyst (m/w/d),ODW-ELEKTRIK,"Steinau, Hesse, Germany",On-site,2 weeks ago,20 applicants,Full-time · Entry level,"1,001-5,000 employees · Automotive"
Junior Market Analyst (Remote Internship – Market Research),TalentKompass Deutschland,"Essen, North Rhine-Westphalia, Germany",Remote,1 week ago,6 applicants,Internship,1-10 employees · Human Resources Services
"Bachelor of Science (m/w/d) Data Science and Artificial Intelligence, Start 2024",TecAlliance,"Ismaning, Bavaria, Germany",On-site,6 days ago,,Full-time · Internship,"501-1,000 employees · Information Technology & Services"
Junior Research Group Leader in Machine Learning (m/f/d),Munich Center for Machine Learning,"Munich, Bavaria, Germany",On-site,1 week ago,5 applicants,Part-time · Entry level,"501-1,000 employees · Research Services"
Corporate Academy Student (m/w/d) - Business Intelligence / Data Warehousing,Scalefree,"Hannover, Lower Saxony, Germany",On-site,4 weeks ago,2 applicants,Part-time · Internship,51-200 employees · IT Services and IT Consulting
PhD Student in AI for Molecular Diagnostics (w/m/d),Leipzig University,"Leipzig, Saxony, Germany",On-site,2 weeks ago,36 applicants,Internship · Internship,"1,001-5,000 employees · Higher Education"
Junior Market Analyst (Remote Internship – Market Research),TalentKompass Deutschland,"Bonn, North Rhine-Westphalia, Germany",Remote,1 week ago,16 applicants,Internship,1-10 employees · Human Resources Services
Junior Market Analyst (Remote Internship – Market Research),TalentKompass Deutschland,"Nuremberg, Bavaria, Germany",Remote,1 week ago,22 applicants,Internship,1-10 employees · Human Resources Services
Senior Controller (m/w/x),Medicover Deutschland,"Berlin, Berlin, Germany",On-site,5 days ago,,Full-time · Director,"501-1,000 employees · Hospitals and Health Care"
Business Intelligence Working Student,happyglam,"Berlin, Berlin, Germany",On-site,2 days ago,63 applicants,Part-time · Internship,11-50 employees · Personal Care Product Manufacturing
Data Science / ML Engineer (m/f/d),Advantest,"Böblingen, Baden-Württemberg, Germany",,1 month ago,199 applicants,Full-time · Entry level,"1,001-5,000 employees · Semiconductor Manufacturing"
Werkstudent (m/w/d) Data Engineering / Data Science,abl solutions GmbH,"Nuremberg, Bavaria, Germany",On-site,1 month ago,32 applicants,Internship · Internship,51-200 employees · IT Services and IT Consulting
Team Lead Data Management/Data Science Lithium lon Battery Cell Testing (all genders),PowerCo SE,"Salzgitter, Lower Saxony, Germany",Hybrid,1 month ago,,Full-time · Mid-Senior level,"501-1,000 employees · Motor Vehicle Manufacturing"
Bachelorand/Masterand (m/w/d),VARTA AG,"Nördlingen, Bavaria, Germany",Hybrid,1 month ago,,Full-time · Internship,"1,001-5,000 employees · Appliances, Electrical, and Electronics Manufacturing"
Werkstudent Data Science (m/w/d),CEWE Stiftung & Co. KGaA,"Oldenburg, Lower Saxony, Germany",On-site,6 days ago,1 applicant,Internship · Internship,"1,001-5,000 employees · Printing Services"
Data Science Engineer (m/w/d),Teva Pharmaceuticals,"Ulm, Baden-Württemberg, Germany",On-site,3 weeks ago,20 applicants,Full-time · Entry level,"10,001+ employees · Pharmaceutical Manufacturing"
Junior Market Analyst (Remote Internship – Market Research),TalentKompass Deutschland,"München, Bavaria, Germany",Remote,1 week ago,18 applicants,Internship,1-10 employees · Human Resources Services
Junior Market Analyst (Remote Internship – Market Research),TalentKompass Deutschland,"Munich, Bavaria, Germany",Remote,1 week ago,24 applicants,Internship,1-10 employees · Human Resources Services
Junior Market Analyst (Remote Internship – Market Research),TalentKompass Deutschland,"Hamburg, Hamburg, Germany",Remote,1 week ago,45 applicants,Internship,1-10 employees · Human Resources Services
Data Analyst (m/w/d) Zentraler Einkauf,DMG MORI AKTIENGESELLSCHAFT,"Bielefeld, North Rhine-Westphalia, Germany",On-site,2 weeks ago,6 applicants,Full-time · Entry level,201-500 employees · Machinery Manufacturing
DeFi Researcher/Business Analyst,Uplift People Consulting,"Berlin, Berlin, Germany",Remote,2 weeks ago,,Full-time · Mid-Senior level,11-50 employees · Staffing and Recruiting
2 Junior Research Group Leader at ScaDS.AI (Centre for Scalable Data Analytics and Artificial Intelligence) Dresden/Leipzig (m/f/d),Leipzig University,"Leipzig, Saxony, Germany",On-site,3 weeks ago,7 applicants,Contract · Mid-Senior level,"1,001-5,000 employees · Higher Education"
"Research Associate, Institute of Manufacturing Science and Engineering",Technische Universität Dresden,"Dresden, Saxony, Germany",On-site,3 weeks ago,13 applicants,Contract · Mid-Senior level,"10,001+ employees · Research"
Praktikant im Bereich Vehicle Connectivity Data Science (w/m/x),BMW Group,"München, Bavaria, Germany",On-site,3 weeks ago,8 applicants,Full-time · Internship,"10,001+ employees · Motor Vehicle Manufacturing"
Data Scientist (gn) 100% Remote,workidentity GmbH,Germany,Remote,4 weeks ago,17 applicants,Full-time · Mid-Senior level,11-50 employees · Staffing and Recruiting
Social Media Data Engineer (m/w/d),ProTechnology,"Dresden, Saxony, Germany",Hybrid,2 days ago,2 applicants,Full-time · Entry level,11-50 employees · Software Development
Intern (f/m/x) Venture Analyst,UnternehmerTUM,"München, Bavaria, Germany",,2 months ago,24 applicants,Full-time · Internship,201-500 employees · Higher Education
Internship Business Intelligence (m/w/d),Advantest,"Böblingen, Baden-Württemberg, Germany",Hybrid,3 weeks ago,1 applicant,Internship · Internship,"1,001-5,000 employees · Semiconductor Manufacturing"
Data Scientist Experienced in Generative AI,Datasumi,"Cologne, North Rhine-Westphalia, Germany",On-site,1 month ago,148 applicants,Full-time · Mid-Senior level,11-50 employees · Information Services
Data Scientist,Oliver James,"Wiesbaden, Hesse, Germany",Hybrid,2 weeks ago,3 applicants,Full-time · Entry level,"501-1,000 employees · Staffing and Recruiting"
Werkstudent Data Scientist (w/m/d) -15/20h,fulfin - financing ecommerce,Germany,On-site,5 days ago,10 applicants,Internship · Entry level,11-50 employees · Banking
Data Engineer (w/m/d) - in Paderborn,Jefferson Frank,"Paderborn, North Rhine-Westphalia, Germany",Hybrid,1 month ago,3 applicants,Full-time · Entry level,201-500 employees · Staffing and Recruiting
Senior Data Scientist - Location-based Experiences (f/m/x),BMW Group,"München, Bavaria, Germany",On-site,1 month ago,55 applicants,Full-time · Mid-Senior level,"10,001+ employees · Motor Vehicle Manufacturing"
Assistenz / Medizinischen Dokumentar (m/w/d) Frontend,Universitätsmedizin Mannheim,"Mannheim, Baden-Württemberg, Germany",On-site,3 weeks ago,,Full-time · Entry level,"1,001-5,000 employees · Hospitals and Health Care"
Business Analyst (w/m/x),BMW Group,"München, Bavaria, Germany",On-site,1 month ago,64 applicants,Full-time · Mid-Senior level,"10,001+ employees · Motor Vehicle Manufacturing"
Data Analyst (w/m/d) Remote/Hybrid,Liebscher & Bracht,Germany,Remote,2 months ago,106 applicants,Full-time,"51-200 employees · Health, Wellness & Fitness"
Data Analyst / Data Scientist (all genders),adviqo Group,"Berlin, Berlin, Germany",On-site,3 weeks ago,58 applicants,Full-time · Mid-Senior level,201-500 employees · Online Audio and Video Media
Data Scientist (m/w/d),eoda GmbH,"Coblenz, Rhineland-Palatinate, Germany",Hybrid,1 month ago,2 applicants,Full-time · Entry level,11-50 employees · Data Infrastructure and Analytics
Junior Business Analyst (Remote Internship),TalentKompass Deutschland,"Stuttgart, Baden-Württemberg, Germany",Remote,1 week ago,17 applicants,Internship,1-10 employees · Human Resources Services
Praktikum Digitalisierung - Data Analytics / Data Science,STIHL,"Waiblingen, Baden-Württemberg, Germany",On-site,4 weeks ago,1 applicant,Full-time · Internship,"10,001+ employees · Machinery Manufacturing"
Werkstudent*in Datascience,greenventory,"Freiburg, Baden-Württemberg, Germany",On-site,1 week ago,19 applicants,Part-time · Entry level,11-50 employees · Data Infrastructure and Analytics
Expert Business Intelligence & Data Science (all genders),meteocontrol,"Augsburg, Bavaria, Germany",On-site,1 month ago,4 applicants,Full-time · Mid-Senior level,201-500 employees · Renewable Energy Semiconductor Manufacturing
Werkstudent Data Science (m/w/d) im Bereich Data Services,Datalogue GmbH,"Hamburg, Hamburg, Germany",On-site,3 weeks ago,2 applicants,Part-time · Internship,51-200 employees · Advertising Services
Junior Market Analyst (Remote Internship – Market Research),TalentKompass Deutschland,"Leipzig, Saxony, Germany",Remote,1 week ago,16 applicants,Internship,1-10 employees · Human Resources Services
Associate Data Science Consultant (m/w/d),Comma Soft AG,"Bonn, North Rhine-Westphalia, Germany",Hybrid,2 months ago,2 applicants,Full-time · Entry level,51-200 employees · Business Consulting and Services
Data Scientist (m/w/d),Zentek Gruppe,"Cologne, North Rhine-Westphalia, Germany",On-site,2 weeks ago,13 applicants,Full-time · Mid-Senior level,201-500 employees · Environmental Services
Junior Business Analyst (Remote Internship),TalentKompass Deutschland,"Bonn, North Rhine-Westphalia, Germany",Remote,1 week ago,25 applicants,Internship,1-10 employees · Human Resources Services
Projektkoordinator Data Science - Machine Learning / Deep Learning (m/w/d) [100% remote mgl.],elunic AG,"Munich, Bavaria, Germany",Hybrid,21 hours ago,2 applicants,Full-time · Entry level,51-200 employees · IT Services and IT Consulting
"Bachelor of Science (m/w/d) Data Science and Artificial Intelligence, Start 2024",TecAlliance,"Weikersheim, Baden-Württemberg, Germany",On-site,6 days ago,,Full-time · Internship,"501-1,000 employees · Information Technology & Services"
Data Science Consultant (m/w/d),Convalid Analytics GmbH,"Munich, Bavaria, Germany",Hybrid,1 week ago,9 applicants,Full-time · Entry level,11-50 employees · Data Infrastructure and Analytics
Junior Business Analyst (Remote Internship),TalentKompass Deutschland,"Cologne, North Rhine-Westphalia, Germany",Remote,1 week ago,16 applicants,Internship,1-10 employees · Human Resources Services
Data Scientist (m/w/d) Natural Language Processing,Eucon Group,Germany,Remote,1 month ago,63 applicants,Full-time · Entry level,See how you compare to 63 applicants. Try Premium for free
Data Scientist (m/w/d),Kuraray Europe GmbH,"Frankfurt am Main, Hesse, Germany",On-site,3 weeks ago,,Full-time · Entry level,"501-1,000 employees · Chemical Manufacturing"
Junior Data Analyst (m/w/d),engineering people,"Frankfurt am Main, Hesse, Germany",Hybrid,3 weeks ago,35 applicants,Full-time · Mid-Senior level,"501-1,000 employees · Human Resources Services"
Data Scientist (w/m/d) Schwerpunkt Verfahrenstechnik,H-TEC SYSTEMS,"Augsburg, Bavaria, Germany",Hybrid,4 weeks ago,13 applicants,Full-time · Entry level,201-500 employees · Renewable Energy Semiconductor Manufacturing
Junior Business Analyst (Remote Internship),TalentKompass Deutschland,"Frankfurt, Hesse, Germany",Remote,1 week ago,46 applicants,Internship,1-10 employees · Human Resources Services
Praktikum Data Science,eoda GmbH,"Cassel, Hesse, Germany",On-site,3 weeks ago,6 applicants,Full-time · Internship,11-50 employees · Data Infrastructure and Analytics
Junior Business Analyst (Remote Internship),TalentKompass Deutschland,"Essen, North Rhine-Westphalia, Germany",Remote,1 week ago,20 applicants,Internship,1-10 employees · Human Resources Services
Data Scientist*in (m/w/d),Knuddels,"Karlsruhe, Baden-Württemberg, Germany",Remote,10 months ago,114 applicants,Full-time · Mid-Senior level,"51-200 employees · Technology, Information and Internet"
ML Data Scientist (m/w/x) Vollzeit,SAM-DIMENSION,"Stuttgart, Baden-Württemberg, Germany",On-site,1 week ago,36 applicants,Full-time · Entry level,1-10 employees · Farming
Werkstudent*in im Bereich Data Science (m/w/d),rosenbaum nagy unternehmensberatung GmbH,"Cologne, North Rhine-Westphalia, Germany",Hybrid,2 months ago,6 applicants,Internship · Internship,11-50 employees · Business Consulting and Services
Praktikant Data Analytics & Business Intelligence,join.com,"Berlin, Berlin, Germany",Hybrid,3 hours ago,2 applicants,Internship · Internship,51-200 employees · Software Development
Junior Business Analyst (Remote Internship),TalentKompass Deutschland,"Dresden, Saxony, Germany",Remote,1 week ago,12 applicants,Internship,1-10 employees · Human Resources Services
Data Analyst (m/w/d),nexible,"Düsseldorf, North Rhine-Westphalia, Germany",On-site,3 weeks ago,,Part-time · Mid-Senior level,11-50 employees · Insurance
Data Scientist (m/f/d),Cuculus GmbH,"Ilmenau, Thuringia, Germany",On-site,1 day ago,15 applicants,Full-time · Mid-Senior level,51-200 employees · Software Development
Junior Data Analyst (m/w/d),engineering people,"Frankfurt am Main, Hesse, Germany",Hybrid,3 weeks ago,1 applicant,Full-time · Mid-Senior level,"501-1,000 employees · Human Resources Services"
Junior Business Analyst (Remote Internship),TalentKompass Deutschland,"Hamburg, Hamburg, Germany",Remote,1 week ago,54 applicants,Internship,1-10 employees · Human Resources Services
Studentische Aushilfe – Strukturierte Datenerhebung für KI-Forschungsprojekte,,"Frankfurt, Hesse, Germany",On-site,2 weeks ago,,,
Data Scientist Experienced in Generative AI,Datasumi,"Munich, Bavaria, Germany",On-site,1 month ago,178 applicants,Full-time · Mid-Senior level,11-50 employees · Information Services
Research Manager in the field of Life Cycle Assessment (LCA) (m/f/d),iPoint-systems gmbh,"Reutlingen, Baden-Württemberg, Germany",On-site,3 weeks ago,20 applicants,Full-time · Entry level,51-200 employees · IT Services and IT Consulting
