job_title,company_name,company_location,workplace_type,post_date,applicants,jobtype_experience,company_size_industry
Two Postdoctoral positions (f/m/d) in Molecular Biology/Biotechnology/Bioengineering/Bioinformatics (m/w/d),Universitätsklinikum Würzburg,"Würzburg, Bavaria, Germany",On-site,6 days ago,11 applicants,Full-time · Entry level,"5,001-10,000 employees · Hospitals and Health Care"
Thesis (Master) Reinforcement Learning (m/w/d),Exxeta,"Mannheim, Baden-Württemberg, Germany",On-site,1 week ago,6 applicants,Full-time · Internship,"1,001-5,000 employees · Information Technology & Services"
Studentische Aushilfe – Strukturierte Datenerhebung für KI-Forschungsprojekte,Universitätsklinikum Frankfurt am Main,"Frankfurt, Hesse, Germany",On-site,2 weeks ago,,Internship,"5,001-10,000 employees · Hospitals and Health Care"
Data Science Assistant / Junior Data Scientist (w/m/d),prognostica GmbH,"Würzburg, Bavaria, Germany",Hybrid,2 weeks ago,63 applicants,Full-time · Entry level,11-50 employees · IT Services and IT Consulting
"Masterand:in (m/w/d) im Bereich Data Science, Prozesssimulation oder -optimierung",Eggersmann Gruppe GmbH & Co. KG,"Aachen, North Rhine-Westphalia, Germany",On-site,1 week ago,4 applicants,Part-time · Internship,"501-1,000 employees · Industrial Machinery Manufacturing"
Data Analyst – Process Automation (m/w/d),Statista,"Hamburg, Hamburg, Germany",On-site,1 month ago,116 applicants,Full-time · Mid-Senior level,"1,001-5,000 employees · Technology, Information and Media"
Duales Studium Data Science und Künstliche Intelligenz (m/w/d),areto consulting gmbh,"Cologne, North Rhine-Westphalia, Germany",On-site,1 day ago,,Full-time · Internship,51-200 employees · IT Services and IT Consulting
Data Analyst (m/w/d),RIDE Capital,"Berlin, Berlin, Germany",On-site,3 weeks ago,20 applicants,Full-time · Mid-Senior level,11-50 employees · Financial Services
Data Analyst für Fahrassistenzsysteme und Autonomes Fahren (m/w/d),ARRK Engineering GmbH,"München, Bavaria, Germany",On-site,11 months ago,12 applicants,Full-time · Entry level,"1,001-5,000 employees · Motor Vehicle Manufacturing"
Internship: Data Scientist - Quantitative Investment Research (m/f/d),Othoz GmbH,"Berlin, Berlin, Germany",On-site,4 weeks ago,142 applicants,Internship · Entry level,11-50 employees · Financial Services
Data Scientist (m/w/d) Supply Chain Management,Kärcher,"Obersontheim, Baden-Württemberg, Germany",On-site,1 month ago,,Full-time · Entry level,"10,001+ employees · Industrial Machinery Manufacturing"
Student Assistant - Market Analysis / Mobility Focus (m/f/d),Statista,"Hamburg, Hamburg, Germany",On-site,4 weeks ago,48 applicants,Internship · Internship,"1,001-5,000 employees · Technology, Information and Media"
Werkstudent im Bereich Data Science / Data Analytics / Risk Management (w/m/x),BMW Group,"München, Bavaria, Germany",Hybrid,2 weeks ago,63 applicants,Internship · Internship,"10,001+ employees · Motor Vehicle Manufacturing"
Data Scientist (m/f/d): Shape the Future of Construction with AI!,Flexxter GmbH,"Hannover, Lower Saxony, Germany",On-site,1 day ago,34 applicants,Full-time · Entry level,1-10 employees · IT Services and IT Consulting
Stable Diffusion Intern,ZAUBAR,"Berlin, Berlin, Germany",Hybrid,1 week ago,14 applicants,Full-time · Internship,11-50 employees · IT Services and IT Consulting
Data Scientist (m/w/d),AP Sensing,"Böblingen, Baden-Württemberg, Germany",On-site,1 month ago,27 applicants,Full-time · Entry level,51-200 employees · Electrical Equipment Manufacturing
Intern in the area of artificial intelligence (f/m/d),BMW Group,"München, Bavaria, Germany",On-site,1 day ago,21 applicants,Internship · Internship,"10,001+ employees · Motor Vehicle Manufacturing"
"Generative AI Explorer (Stable Diffusion, ControlNet...)",ZAUBAR,"Berlin, Berlin, Germany",On-site,1 week ago,30 applicants,Full-time · Entry level,11-50 employees · IT Services and IT Consulting
Data Scientist (f/m/d),Enter,"Berlin, Berlin, Germany",On-site,2 days ago,100 applicants,Full-time · Mid-Senior level,51-200 employees · Renewable Energy Semiconductor Manufacturing
studentische Beschäftigung mit 40 Monatsstunden (Kennziffer QW_METIS_23-03),Technische Universität Berlin,"Berlin, Berlin, Germany",On-site,3 weeks ago,,Internship,"10,001+ employees · Education Administration Programs"
Dualer Student (m/w/d) - Master Data Science & Artificial Intelligence (M.Sc.),Datalogue GmbH,"Hamburg, Hamburg, Germany",On-site,3 weeks ago,1 applicant,Part-time · Internship,51-200 employees · Advertising Services
"Spectroscopy Data Analyst (full time, all genders)",IRUBIS,"Munich, Bavaria, Germany",On-site,1 week ago,34 applicants,Full-time · Entry level,11-50 employees · Biotechnology Research
Data Science Intern / Working Student,dltHub,"Berlin, Berlin, Germany",On-site,1 month ago,141 applicants,Full-time · Internship,1-10 employees · Software Development
Intern in the area of Data Science - Web & Commerce Analytics (f/m/d),BMW Group,"München, Bavaria, Germany",On-site,1 month ago,180 applicants,Full-time · Internship,"10,001+ employees · Motor Vehicle Manufacturing"
Working Student (m/w/d) MLC,Nordex Group,"Hamburg, Hamburg, Germany",On-site,1 month ago,38 applicants,Full-time · Internship,"5,001-10,000 employees · Renewable Energy Semiconductor Manufacturing"
Game Data Analyst (f/m/d),Kolibri Games,"Berlin, Berlin, Germany",Hybrid,2 months ago,78 applicants,Full-time,51-200 employees · Computer Games
Junior Data Analyst (Remote Internship – Data Analysis),TalentKompass Deutschland,"Bonn, North Rhine-Westphalia, Germany",Remote,1 week ago,84 applicants,Internship,1-10 employees · Human Resources Services
Unsolicited Application (m/f/d) - Raisin Bank,Raisin,"Frankfurt, Hesse, Germany",On-site,2 weeks ago,1 applicant,Full-time · Entry level,"501-1,000 employees · Financial Services"
Lab Manager (m/f/d) Business Innovation Lab,Baden-Wuerttemberg Cooperative State University (DHBW),"Lörrach, Baden-Württemberg, Germany",Hybrid,1 day ago,5 applicants,Part-time · Mid-Senior level,"1,001-5,000 employees · Higher Education"
Carbon Data Analyst (m/f/x),Tanso,"Munich, Bavaria, Germany",On-site,1 month ago,115 applicants,Full-time,11-50 employees · Software Development
P 83/2023 Research Assistant (m/f/d),Universität Rostock,"Rostock, Mecklenburg-West Pomerania, Germany",On-site,2 weeks ago,10 applicants,Temporary · Entry level,"1,001-5,000 employees · Research Services"
